2017-10-10 17:28:33 INFO  HelloCity:23 - Validation is successful - the error map is empty.
2017-10-10 17:28:33 INFO  HelloCity:25 - HelloCityService object was created.
2017-10-10 17:28:34 INFO  HelloCity:27 - The final message was displayed.
2017-10-10 17:31:22 INFO  HelloCity:18 - The argument's validator is created.
2017-10-10 17:31:22 INFO  ParameterValidatorImpl:70 - The length arguments were validated. Errors = 0
2017-10-10 17:31:22 INFO  ParameterValidatorImpl:24 - Length arguments successfully validated.
2017-10-10 17:31:22 INFO  ParameterValidatorImpl:48 - The arguments are checked for compliance with the regular expression. Errors = 0
2017-10-10 17:31:22 INFO  ParameterValidatorImpl:27 - The errorMap was returned.
2017-10-10 17:31:22 INFO  HelloCity:20 - The errorMap was created.
2017-10-10 17:31:22 INFO  HelloCity:23 - Validation is successful - the error map is empty.
2017-10-10 17:31:22 INFO  HelloCity:25 - HelloCityService object was created.
2017-10-10 17:31:22 INFO  HelloCity:27 - The final message was displayed.
2017-10-10 17:31:43 INFO  HelloCity:18 - The argument's validator is created.
2017-10-10 17:31:43 INFO  ParameterValidatorImpl:70 - The length arguments were validated. Errors = 0
2017-10-10 17:31:43 INFO  ParameterValidatorImpl:24 - Length arguments successfully validated.
2017-10-10 17:31:43 INFO  ParameterValidatorImpl:48 - The arguments are checked for compliance with the regular expression. Errors = 0
2017-10-10 17:31:43 INFO  ParameterValidatorImpl:27 - The errorMap was returned.
2017-10-10 17:31:43 INFO  HelloCity:20 - The errorMap was created.
2017-10-10 17:31:43 INFO  HelloCity:23 - Validation is successful - the error map is empty.
2017-10-10 17:31:43 INFO  HelloCity:25 - HelloCityService object was created.
2017-10-10 17:31:43 INFO  HelloCity:27 - The final message was displayed.
2017-10-10 17:32:00 INFO  HelloCity:18 - The argument's validator is created.
2017-10-10 17:32:00 INFO  ParameterValidatorImpl:70 - The length arguments were validated. Errors = 0
2017-10-10 17:32:00 INFO  ParameterValidatorImpl:24 - Length arguments successfully validated.
2017-10-10 17:32:00 INFO  ParameterValidatorImpl:48 - The arguments are checked for compliance with the regular expression. Errors = 0
2017-10-10 17:32:00 INFO  ParameterValidatorImpl:27 - The errorMap was returned.
2017-10-10 17:32:00 INFO  HelloCity:20 - The errorMap was created.
2017-10-10 17:32:00 INFO  HelloCity:23 - Validation is successful - the error map is empty.
2017-10-10 17:32:00 INFO  HelloCity:25 - HelloCityService object was created.
2017-10-10 17:32:00 INFO  HelloCity:27 - The final message was displayed.
2017-10-10 18:54:23 INFO  ParameterValidatorImpl:70 - The length arguments were validated. Errors = 0
2017-10-10 18:54:23 INFO  ParameterValidatorImpl:24 - Length arguments successfully validated.
2017-10-10 18:54:23 INFO  ParameterValidatorImpl:48 - The arguments are checked for compliance with the regular expression. Errors = 0
2017-10-10 18:54:23 INFO  ParameterValidatorImpl:27 - The errorMap was returned.
2017-10-10 23:17:49 INFO  ParameterValidatorImpl:70 - The length arguments were validated. Errors = 0
2017-10-10 23:17:49 INFO  ParameterValidatorImpl:24 - Length arguments successfully validated.
2017-10-10 23:17:49 INFO  ParameterValidatorImpl:48 - The arguments are checked for compliance with the regular expression. Errors = 0
2017-10-10 23:17:49 INFO  ParameterValidatorImpl:27 - The errorMap was returned.
2017-10-10 23:17:49 INFO  ParameterValidatorImpl:70 - The length arguments were validated. Errors = 0
2017-10-10 23:17:49 INFO  ParameterValidatorImpl:24 - Length arguments successfully validated.
2017-10-10 23:17:49 INFO  ParameterValidatorImpl:48 - The arguments are checked for compliance with the regular expression. Errors = 0
2017-10-10 23:17:49 INFO  ParameterValidatorImpl:27 - The errorMap was returned.
2017-10-10 23:17:49 INFO  ParameterValidatorImpl:70 - The length arguments were validated. Errors = 0
